,Date,Venue,Result,GF_x,GA_x,Opp,xG_x,xGA_x,Poss_x,Club,Poss_y,Position_x,Pl_x,Pts_x,Form_x,Position_y,Pl_y,Pts_y,Form_y,spi_x,off_x,def_x,Season,spi_y,off_y,def_y
1857,2019-12-15,Home,L,0.0,3.0,MCI,0.5,1.3,43.0,ARS,57.0,9.0,16.0,22.0,19.0,3.0,16.0,32.0,32.0,74.9,2.2,0.8,2019,95.3,3.3,0.2
1867,2019-12-21,Away,D,0.0,0.0,EVE,0.6,0.5,57.0,ARS,43.0,10.0,17.0,22.0,22.0,16.0,17.0,18.0,17.0,75.5,2.1,0.8,2019,77.6,2.0,0.6
1890,2019-12-26,Away,D,1.0,1.0,BOU,1.4,2.0,60.0,ARS,40.0,11.0,18.0,23.0,22.0,14.0,18.0,19.0,19.0,75.5,2.1,0.8,2019,68.7,1.8,0.8
1913,2019-12-29,Home,L,1.0,2.0,CHE,0.5,1.4,42.0,ARS,58.0,11.0,19.0,24.0,23.0,4.0,19.0,32.0,32.0,76.4,2.1,0.7,2019,85.0,2.5,0.5
1934,2020-01-01,Home,W,2.0,0.0,MUN,1.5,0.7,49.0,ARS,51.0,12.0,20.0,24.0,24.0,5.0,20.0,31.0,28.0,76.4,2.1,0.7,2019,81.1,2.2,0.5
1953,2020-01-11,Away,D,1.0,1.0,CRY,1.4,0.6,57.0,ARS,43.0,10.0,21.0,27.0,24.0,9.0,21.0,28.0,27.0,76.7,2.1,0.7,2019,69.7,1.7,0.7
1962,2020-01-18,Home,D,1.0,1.0,SHU,1.4,0.8,61.0,ARS,39.0,10.0,22.0,28.0,27.0,6.0,22.0,32.0,29.0,75.4,2.1,0.7,2019,73.2,1.8,0.6
1986,2020-01-21,Away,D,2.0,2.0,CHE,0.4,2.9,42.0,ARS,58.0,10.0,23.0,29.0,28.0,4.0,23.0,39.0,39.0,75.4,2.1,0.7,2019,86.1,2.5,0.5
2018,2020-02-02,Away,D,0.0,0.0,BUR,1.2,1.9,56.0,ARS,44.0,10.0,24.0,30.0,29.0,13.0,24.0,30.0,27.0,75.3,2.1,0.7,2019,69.1,1.8,0.8
2032,2020-02-16,Home,W,4.0,0.0,NEW,2.6,0.9,68.0,ARS,32.0,10.0,25.0,31.0,30.0,12.0,25.0,31.0,30.0,76.1,2.1,0.7,2019,60.2,1.6,1.0
2057,2020-02-23,Home,W,3.0,2.0,EVE,1.3,2.7,51.0,ARS,49.0,10.0,26.0,34.0,31.0,9.0,26.0,36.0,33.0,77.1,2.2,0.7,2019,78.9,2.1,0.6
2079,2020-03-07,Home,W,1.0,0.0,WHU,1.2,1.5,68.0,ARS,32.0,10.0,27.0,37.0,34.0,16.0,28.0,27.0,24.0,76.8,2.1,0.7,2019,67.3,1.9,1.0
2097,2020-06-17,Away,L,0.0,3.0,MCI,0.3,2.6,33.0,ARS,67.0,9.0,28.0,40.0,37.0,2.0,28.0,57.0,57.0,76.5,2.1,0.7,2019,94.9,3.1,0.2
2106,2020-06-20,Away,L,1.0,2.0,BHA,0.8,1.0,59.0,ARS,41.0,10.0,30.0,40.0,40.0,15.0,29.0,29.0,28.0,76.5,2.1,0.7,2019,70.6,1.9,0.8
2137,2020-06-25,Away,W,2.0,0.0,SOU,1.9,0.9,47.0,ARS,53.0,10.0,30.0,40.0,40.0,14.0,30.0,37.0,34.0,76.4,2.1,0.7,2019,70.0,1.9,0.8
2148,2020-07-01,Home,W,4.0,0.0,NOR,1.5,0.3,51.0,ARS,49.0,9.0,31.0,43.0,40.0,20.0,31.0,21.0,21.0,78.6,2.1,0.6,2019,58.6,1.6,1.0
2160,2020-07-04,Away,W,2.0,0.0,WOL,1.3,1.2,47.0,ARS,53.0,8.0,32.0,46.0,43.0,6.0,32.0,52.0,49.0,78.6,2.1,0.6,2019,82.2,2.0,0.4
2183,2020-07-07,Home,D,1.0,1.0,LEI,1.1,0.9,39.0,ARS,61.0,7.0,33.0,49.0,46.0,3.0,33.0,58.0,55.0,79.7,2.1,0.6,2019,82.2,2.2,0.5
2211,2020-07-12,Away,L,1.0,2.0,TOT,0.6,2.0,62.0,ARS,38.0,8.0,34.0,50.0,49.0,9.0,34.0,49.0,48.0,78.6,2.1,0.6,2019,76.6,2.1,0.7
2226,2020-07-15,Home,W,2.0,1.0,LIV,0.8,2.1,32.0,ARS,69.0,9.0,35.0,50.0,50.0,1.0,35.0,93.0,92.0,78.6,2.1,0.6,2019,91.5,2.8,0.3
2254,2020-07-21,Away,L,0.0,1.0,AVL,0.6,0.6,69.0,ARS,31.0,9.0,36.0,53.0,50.0,19.0,36.0,31.0,30.0,78.4,2.1,0.6,2019,64.9,1.8,0.9
2263,2020-07-26,Home,W,3.0,2.0,WAT,2.3,3.7,50.0,ARS,50.0,10.0,37.0,53.0,53.0,18.0,37.0,34.0,34.0,76.4,2.1,0.7,2019,70.8,2.0,0.8
2287,2020-09-12,Away,W,3.0,0.0,FUL,1.9,0.1,54.0,ARS,46.0,,,,,,,,,79.2,2.2,0.6,2020,62.0,1.7,1.0
2301,2020-09-19,Home,W,2.0,1.0,WHU,1.1,2.0,62.0,ARS,38.0,1.0,1.0,3.0,,14.0,1.0,0.0,,78.8,2.2,0.6,2020,69.0,1.9,0.9
2332,2020-09-28,Away,L,1.0,3.0,LIV,1.3,2.7,34.0,ARS,66.0,3.0,2.0,6.0,3.0,4.0,2.0,6.0,3.0,78.7,2.2,0.6,2020,91.4,2.8,0.3
2352,2020-10-04,Home,W,2.0,1.0,SHU,0.6,0.2,64.0,ARS,36.0,5.0,3.0,6.0,6.0,19.0,3.0,0.0,0.0,78.6,2.2,0.6,2020,67.4,1.7,0.7
2357,2020-10-17,Away,L,0.0,1.0,MCI,0.9,1.3,42.0,ARS,58.0,4.0,4.0,9.0,6.0,14.0,3.0,4.0,3.0,78.9,2.1,0.6,2020,92.0,3.0,0.3
2386,2020-10-25,Home,L,0.0,1.0,LEI,0.7,0.7,56.0,ARS,44.0,5.0,5.0,9.0,9.0,4.0,5.0,9.0,9.0,78.7,2.1,0.6,2020,79.1,2.1,0.6
2408,2020-11-01,Away,W,1.0,0.0,MUN,1.0,0.4,46.0,ARS,54.0,11.0,6.0,9.0,9.0,15.0,5.0,7.0,6.0,80.7,2.1,0.5,2020,83.2,2.3,0.5
2428,2020-11-08,Home,L,0.0,3.0,AVL,1.5,1.8,59.0,ARS,41.0,9.0,7.0,12.0,9.0,8.0,6.0,12.0,12.0,79.5,2.1,0.6,2020,73.2,2.1,0.8
2446,2020-11-22,Away,D,0.0,0.0,LEE,0.9,1.8,34.0,ARS,66.0,11.0,8.0,12.0,12.0,15.0,8.0,10.0,10.0,78.7,2.1,0.6,2020,67.6,1.9,0.9
2470,2020-11-29,Home,L,1.0,2.0,WOL,1.5,1.8,56.0,ARS,44.0,12.0,9.0,13.0,12.0,9.0,9.0,14.0,13.0,78.0,2.1,0.6,2020,76.8,1.9,0.5
2486,2020-12-06,Away,L,0.0,2.0,TOT,0.6,0.3,69.0,ARS,31.0,14.0,10.0,13.0,13.0,1.0,10.0,21.0,20.0,79.3,2.1,0.6,2020,83.2,2.3,0.5
2505,2020-12-13,Home,L,0.0,1.0,BUR,1.6,1.4,65.0,ARS,35.0,15.0,11.0,13.0,13.0,18.0,10.0,6.0,5.0,78.6,2.1,0.6,2020,65.9,1.7,0.8
